round,val_loss,val_acc,test_loss,test_acc
255,2.7400,0.3432,2.6363,0.3701
256,2.7424,0.3500,2.6301,0.3718
257,2.7070,0.3472,2.6144,0.3649
258,2.7250,0.3488,2.6393,0.3708
259,2.7233,0.3490,2.6138,0.3746
260,2.7322,0.3516,2.6524,0.3687
261,2.7370,0.3498,2.6553,0.3681
262,2.7988,0.3426,2.6735,0.3636
263,2.6946,0.3550,2.6169,0.3678
264,2.7333,0.3504,2.6168,0.3745
265,2.7299,0.3520,2.5969,0.3738
266,2.7168,0.3528,2.6310,0.3738
267,2.7569,0.3542,2.6513,0.3721
268,2.7573,0.3590,2.6425,0.3713
269,2.6893,0.3622,2.6018,0.3739
270,2.7457,0.3532,2.6320,0.3730
271,2.7510,0.3546,2.6126,0.3746
272,2.7013,0.3544,2.6093,0.3722
273,2.6787,0.3582,2.5945,0.3729
274,2.6912,0.3562,2.5924,0.3747
275,2.7289,0.3554,2.6193,0.3760
276,2.6806,0.3558,2.5815,0.3732
277,2.7265,0.3516,2.6402,0.3779
278,2.7126,0.3586,2.6015,0.3764
279,2.7384,0.3504,2.6059,0.3821
280,2.6958,0.3606,2.5913,0.3783
281,2.7436,0.3646,2.6344,0.3745
282,2.6577,0.3620,2.5693,0.3792
283,2.7333,0.3582,2.6099,0.3808
284,2.7141,0.3528,2.5873,0.3798
285,2.6694,0.3672,2.5977,0.3835
286,2.7108,0.3590,2.5913,0.3810
287,2.7061,0.3572,2.6194,0.3845
288,2.7211,0.3558,2.5838,0.3786
289,2.6958,0.3596,2.6122,0.3788
290,2.7540,0.3594,2.6301,0.3800
291,2.6943,0.3594,2.5956,0.3814
292,2.7194,0.3622,2.6152,0.3835
293,2.6828,0.3616,2.5992,0.3831
294,2.7449,0.3574,2.6198,0.3786
295,2.7224,0.3532,2.5949,0.3836
296,2.6570,0.3624,2.5753,0.3855
297,2.7632,0.3616,2.6402,0.3816
298,2.7734,0.3506,2.6330,0.3850
299,2.7091,0.3588,2.6123,0.3759
300,2.7055,0.3594,2.5937,0.3840
301,2.6999,0.3612,2.5829,0.3878
302,2.7520,0.3548,2.6126,0.3889
303,2.7341,0.3602,2.6181,0.3774
304,2.7035,0.3648,2.5977,0.3839
305,2.7099,0.3618,2.6098,0.3845
306,2.7249,0.3604,2.6061,0.3871
307,2.6664,0.3720,2.5924,0.3853
308,2.6951,0.3664,2.6123,0.3826
309,2.7243,0.3650,2.6254,0.3825
310,2.7139,0.3660,2.6139,0.3805
311,2.7029,0.3714,2.6063,0.3851
312,2.7194,0.3572,2.6042,0.3837
313,2.7370,0.3686,2.6266,0.3867
314,2.6598,0.3622,2.5770,0.3851
315,2.7034,0.3720,2.6169,0.3799
316,2.7211,0.3718,2.6161,0.3866
317,2.6841,0.3600,2.6156,0.3882
318,2.7080,0.3720,2.6281,0.3861
319,2.7253,0.3664,2.5960,0.3878
320,2.6705,0.3692,2.5826,0.3850
321,2.7334,0.3632,2.6303,0.3820
322,2.7240,0.3634,2.6093,0.3878
323,2.6802,0.3678,2.5866,0.3850
324,2.6827,0.3648,2.5665,0.3879
325,2.7259,0.3604,2.6012,0.3899
326,2.6822,0.3678,2.5931,0.3889
327,2.6718,0.3658,2.5752,0.3896
328,2.7038,0.3688,2.5948,0.3861
329,2.7113,0.3688,2.6157,0.3862
330,2.6936,0.3688,2.5959,0.3945
331,2.6848,0.3660,2.6057,0.3849
332,2.7037,0.3704,2.6163,0.3882
333,2.6965,0.3700,2.5984,0.3930
334,2.7169,0.3678,2.6002,0.3891
335,2.7336,0.3702,2.6288,0.3865
336,2.6894,0.3768,2.6081,0.3914
337,2.7121,0.3708,2.6020,0.3927
338,2.6850,0.3674,2.5879,0.3857
339,2.7306,0.3710,2.6273,0.3878
340,2.6602,0.3790,2.5804,0.3895
341,2.7091,0.3744,2.6852,0.3863
342,2.7116,0.3718,2.6070,0.3877
343,2.7112,0.3790,2.6069,0.3945
344,2.6701,0.3736,2.5884,0.3863
345,2.7310,0.3728,2.6286,0.3874
346,2.6972,0.3732,2.5849,0.3902
347,2.7062,0.3706,2.5954,0.3892
348,2.6897,0.3844,2.5994,0.3956
349,2.7155,0.3742,2.6045,0.3918
350,2.6505,0.3762,2.5900,0.3932
351,2.7384,0.3714,2.6196,0.3986
352,2.6745,0.3766,2.5883,0.3955
353,2.6376,0.3792,2.5745,0.3949
354,2.6795,0.3756,2.6204,0.3904
355,2.7414,0.3760,2.6496,0.3935
356,2.7135,0.3710,2.6382,0.3940
357,2.7057,0.3712,2.6233,0.3960
358,2.7381,0.3810,2.6496,0.3931
359,2.7126,0.3756,2.6252,0.4027
360,2.7294,0.3738,2.6516,0.3947
361,2.7030,0.3772,2.6056,0.3940
362,2.7119,0.3716,2.5844,0.3976
363,2.7510,0.3674,2.6510,0.3930
364,2.7049,0.3858,2.6032,0.3971
365,2.6832,0.3854,2.6291,0.3941
366,2.6890,0.3836,2.6026,0.3946
367,2.7346,0.3754,2.6511,0.3918
368,2.7415,0.3790,2.6470,0.3957
369,2.7099,0.3786,2.6277,0.3971
370,2.6886,0.3852,2.6084,0.4021
371,2.6897,0.3832,2.6099,0.3981
372,2.6802,0.3814,2.6131,0.3962
