name,round,val_loss,val_acc,test_loss,test_acc,train_loss,train_acc
hetetogeneous_shard_iid_J_16_LR_0.01,124,4.1940,0.2614,4.2425,0.2635,3.0161,0.3497
hetetogeneous_shard_iid_J_16_LR_0.01,125,4.2101,0.2630,4.2789,0.2657,3.0233,0.3472
hetetogeneous_shard_iid_J_16_LR_0.01,126,4.1748,0.2628,4.1952,0.2679,2.9917,0.3499
hetetogeneous_shard_iid_J_16_LR_0.01,127,4.2064,0.2672,4.2083,0.2698,2.9886,0.3524
hetetogeneous_shard_iid_J_16_LR_0.01,128,4.2621,0.2578,4.2726,0.2760,3.0437,0.3496
hetetogeneous_shard_iid_J_16_LR_0.01,129,4.1206,0.2624,4.1338,0.2622,2.9532,0.3523
hetetogeneous_shard_iid_J_16_LR_0.01,130,4.2172,0.2558,4.2744,0.2675,2.9933,0.3505
hetetogeneous_shard_iid_J_16_LR_0.01,131,4.1723,0.2640,4.2302,0.2646,2.9643,0.3527
hetetogeneous_shard_iid_J_16_LR_0.01,132,4.1648,0.2678,4.2451,0.2657,2.9657,0.3545
hetetogeneous_shard_iid_J_16_LR_0.01,133,4.1668,0.2660,4.2061,0.2761,2.9740,0.3544
hetetogeneous_shard_iid_J_16_LR_0.01,134,4.1750,0.2662,4.2582,0.2672,2.9550,0.3562
hetetogeneous_shard_iid_J_16_LR_0.01,135,4.2409,0.2624,4.3024,0.2661,2.9747,0.3574
hetetogeneous_shard_iid_J_16_LR_0.01,136,4.2258,0.2640,4.2122,0.2675,2.9410,0.3574
hetetogeneous_shard_iid_J_16_LR_0.01,137,4.2220,0.2708,4.2283,0.2710,2.9467,0.3600
hetetogeneous_shard_iid_J_16_LR_0.01,138,4.2482,0.2664,4.2726,0.2759,2.9679,0.3609
hetetogeneous_shard_iid_J_16_LR_0.01,139,4.2805,0.2686,4.3414,0.2770,3.0075,0.3607
hetetogeneous_shard_iid_J_16_LR_0.01,140,4.2371,0.2658,4.2409,0.2665,2.9543,0.3562
hetetogeneous_shard_iid_J_16_LR_0.01,141,4.1537,0.2658,4.2173,0.2721,2.8898,0.3663
hetetogeneous_shard_iid_J_16_LR_0.01,142,4.2563,0.2668,4.2882,0.2718,2.9452,0.3652
hetetogeneous_shard_iid_J_16_LR_0.01,143,4.1306,0.2646,4.2011,0.2678,2.8974,0.3605
hetetogeneous_shard_iid_J_16_LR_0.01,144,4.1776,0.2638,4.2199,0.2714,2.8985,0.3635
hetetogeneous_shard_iid_J_16_LR_0.01,145,4.1740,0.2678,4.2606,0.2658,2.9041,0.3656
hetetogeneous_shard_iid_J_16_LR_0.01,146,4.2332,0.2648,4.2551,0.2642,2.8996,0.3659
hetetogeneous_shard_iid_J_16_LR_0.01,147,4.1612,0.2744,4.2028,0.2736,2.8978,0.3640
hetetogeneous_shard_iid_J_16_LR_0.01,148,4.2175,0.2682,4.2554,0.2704,2.9048,0.3649
hetetogeneous_shard_iid_J_16_LR_0.01,149,4.1511,0.2760,4.2072,0.2715,2.8589,0.3682
hetetogeneous_shard_iid_J_16_LR_0.01,150,4.1620,0.2754,4.2056,0.2746,2.8531,0.3706
hetetogeneous_shard_iid_J_16_LR_0.01,151,4.1977,0.2700,4.1966,0.2783,2.8457,0.3752
hetetogeneous_shard_iid_J_16_LR_0.01,152,4.1895,0.2698,4.2058,0.2748,2.8323,0.3764
hetetogeneous_shard_iid_J_16_LR_0.01,153,4.2073,0.2708,4.2324,0.2718,2.8425,0.3730
hetetogeneous_shard_iid_J_16_LR_0.01,154,4.1748,0.2740,4.1898,0.2826,2.8407,0.3779
hetetogeneous_shard_iid_J_16_LR_0.01,155,4.1583,0.2784,4.1732,0.2723,2.8073,0.3732
hetetogeneous_shard_iid_J_16_LR_0.01,156,4.2336,0.2802,4.2832,0.2819,2.8551,0.3776
hetetogeneous_shard_iid_J_16_LR_0.01,157,4.2050,0.2780,4.2365,0.2820,2.8583,0.3766
hetetogeneous_shard_iid_J_16_LR_0.01,158,4.2177,0.2764,4.2290,0.2780,2.8418,0.3722
hetetogeneous_shard_iid_J_16_LR_0.01,159,4.1668,0.2750,4.1967,0.2845,2.8003,0.3796
hetetogeneous_shard_iid_J_16_LR_0.01,160,4.2303,0.2814,4.2696,0.2795,2.8621,0.3733
hetetogeneous_shard_iid_J_16_LR_0.01,161,4.1925,0.2726,4.2174,0.2763,2.8111,0.3812
hetetogeneous_shard_iid_J_16_LR_0.01,162,4.2621,0.2708,4.3005,0.2719,2.8612,0.3740
hetetogeneous_shard_iid_J_16_LR_0.01,163,4.1499,0.2812,4.1552,0.2790,2.7510,0.3837
hetetogeneous_shard_iid_J_16_LR_0.01,164,4.2454,0.2790,4.2155,0.2760,2.7853,0.3849
hetetogeneous_shard_iid_J_16_LR_0.01,165,4.2484,0.2802,4.2280,0.2780,2.8042,0.3836
hetetogeneous_shard_iid_J_16_LR_0.01,166,4.1494,0.2786,4.1670,0.2781,2.7534,0.3847
hetetogeneous_shard_iid_J_16_LR_0.01,167,4.2398,0.2728,4.2352,0.2775,2.7906,0.3824
hetetogeneous_shard_iid_J_16_LR_0.01,168,4.1434,0.2804,4.1868,0.2829,2.7506,0.3877
hetetogeneous_shard_iid_J_16_LR_0.01,169,4.1460,0.2804,4.1636,0.2862,2.7405,0.3878
hetetogeneous_shard_iid_J_16_LR_0.01,170,4.1380,0.2702,4.1548,0.2832,2.7444,0.3900
hetetogeneous_shard_iid_J_16_LR_0.01,171,4.1573,0.2862,4.1923,0.2794,2.7277,0.3888
hetetogeneous_shard_iid_J_16_LR_0.01,172,4.2077,0.2792,4.1815,0.2837,2.7385,0.3923
hetetogeneous_shard_iid_J_16_LR_0.01,173,4.1700,0.2838,4.2076,0.2850,2.7620,0.3894
hetetogeneous_shard_iid_J_16_LR_0.01,174,4.1953,0.2762,4.2142,0.2828,2.7305,0.3922
hetetogeneous_shard_iid_J_16_LR_0.01,175,4.1679,0.2718,4.1369,0.2870,2.7072,0.3922
hetetogeneous_shard_iid_J_16_LR_0.01,176,4.0870,0.2752,4.0854,0.2843,2.6594,0.3916
hetetogeneous_shard_iid_J_16_LR_0.01,177,4.2018,0.2850,4.2273,0.2844,2.7431,0.3915
hetetogeneous_shard_iid_J_16_LR_0.01,178,4.2177,0.2736,4.2244,0.2805,2.7302,0.3895
hetetogeneous_shard_iid_J_16_LR_0.01,179,4.0915,0.2890,4.1097,0.2837,2.6650,0.3947
hetetogeneous_shard_iid_J_16_LR_0.01,180,4.2436,0.2762,4.2115,0.2865,2.7024,0.3966
hetetogeneous_shard_iid_J_16_LR_0.01,181,4.1768,0.2786,4.1823,0.2864,2.6922,0.3947
hetetogeneous_shard_iid_J_16_LR_0.01,182,4.1196,0.2738,4.1912,0.2873,2.6881,0.3950
hetetogeneous_shard_iid_J_16_LR_0.01,183,4.2034,0.2806,4.2388,0.2825,2.7073,0.3944
hetetogeneous_shard_iid_J_16_LR_0.01,184,4.3062,0.2766,4.3114,0.2801,2.7555,0.3934
hetetogeneous_shard_iid_J_16_LR_0.01,185,4.2191,0.2858,4.2467,0.2888,2.6984,0.3983
hetetogeneous_shard_iid_J_16_LR_0.01,186,4.1452,0.2788,4.1451,0.2913,2.6578,0.4035
hetetogeneous_shard_iid_J_16_LR_0.01,187,4.1477,0.2804,4.2114,0.2847,2.6720,0.3973
hetetogeneous_shard_iid_J_16_LR_0.01,188,4.1148,0.2870,4.1553,0.2862,2.6457,0.4031
hetetogeneous_shard_iid_J_16_LR_0.01,189,4.1400,0.2800,4.1545,0.2878,2.6389,0.4032
hetetogeneous_shard_iid_J_16_LR_0.01,190,4.2214,0.2820,4.2509,0.2877,2.6817,0.4023
hetetogeneous_shard_iid_J_16_LR_0.01,191,4.1259,0.2780,4.1773,0.2827,2.6358,0.3986
hetetogeneous_shard_iid_J_16_LR_0.01,192,4.1454,0.2860,4.1677,0.2927,2.6359,0.4041
hetetogeneous_shard_iid_J_16_LR_0.01,193,4.1994,0.2780,4.2029,0.2832,2.6639,0.4039
hetetogeneous_shard_iid_J_16_LR_0.01,194,4.2866,0.2838,4.2414,0.2897,2.6829,0.4037
hetetogeneous_shard_iid_J_16_LR_0.01,195,4.2217,0.2758,4.2171,0.2827,2.6517,0.4032
hetetogeneous_shard_iid_J_16_LR_0.01,196,4.2040,0.2742,4.2411,0.2889,2.6337,0.4069
hetetogeneous_shard_iid_J_16_LR_0.01,197,4.1789,0.2838,4.1993,0.2877,2.6168,0.4077
