round,val_loss,val_acc,test_loss,test_acc,train_loss,train_acc
190,2.8884,0.3052,2.8247,0.3185,2.5298,0.3523
191,2.8776,0.3036,2.8241,0.3207,2.5365,0.3523
192,2.8764,0.3092,2.8079,0.3250,2.5203,0.3571
193,2.8741,0.3178,2.8068,0.3271,2.5260,0.3582
194,2.8639,0.3078,2.7996,0.3235,2.5088,0.3576
195,2.8910,0.3102,2.8244,0.3223,2.5312,0.3570
196,2.8960,0.3106,2.8060,0.3245,2.5095,0.3590
197,2.9070,0.3072,2.7774,0.3314,2.5065,0.3628
198,2.8757,0.3082,2.8005,0.3267,2.4907,0.3625
199,2.8381,0.3080,2.7913,0.3214,2.4674,0.3641
200,2.8525,0.3196,2.8094,0.3267,2.4702,0.3666
