round,val_loss,val_acc,test_loss,test_acc
578,2.8866,0.3964,2.8082,0.4246
579,2.8403,0.3850,2.8029,0.4168
580,2.8429,0.3994,2.7814,0.4238
581,2.8340,0.4028,2.8003,0.4233
582,2.8316,0.4084,2.8126,0.4222
583,2.8450,0.3980,2.7865,0.4184
584,2.7992,0.3962,2.7740,0.4219
585,2.8241,0.3954,2.8040,0.4248
586,2.9006,0.3944,2.8350,0.4216
587,2.8231,0.3942,2.7795,0.4249
588,2.8717,0.4012,2.8648,0.4205
589,2.8526,0.3926,2.7815,0.4228
590,2.8885,0.3990,2.8511,0.4259
591,2.9182,0.4014,2.8726,0.4226
592,2.8617,0.3930,2.8194,0.4205
593,2.8759,0.4074,2.8382,0.4267
594,2.9028,0.3962,2.8388,0.4231
595,2.8607,0.3938,2.8008,0.4228
596,2.8516,0.3998,2.8272,0.4220
597,2.8884,0.3940,2.8600,0.4215
598,2.8902,0.3918,2.8384,0.4240
599,2.8935,0.3992,2.8501,0.4252
600,2.8785,0.3962,2.8529,0.4194
601,2.8860,0.3960,2.8083,0.4183
602,2.8897,0.3954,2.8103,0.4219
603,2.8798,0.4000,2.8069,0.4290
604,2.8370,0.4058,2.8148,0.4284
605,2.8693,0.3950,2.8413,0.4262
606,2.8256,0.3956,2.7995,0.4232
607,2.8735,0.3964,2.8509,0.4252
608,2.8960,0.4024,2.8612,0.4216
609,2.8993,0.3878,2.8307,0.4232
610,2.8379,0.4022,2.8302,0.4217
611,2.8955,0.3918,2.8338,0.4210
612,2.8387,0.3950,2.8189,0.4196
613,2.8538,0.4030,2.8355,0.4218
614,2.8821,0.4012,2.8549,0.4231
615,2.8862,0.4004,2.8431,0.4147
616,2.9037,0.4022,2.8425,0.4258
617,2.8883,0.3956,2.8272,0.4250
618,2.8707,0.3966,2.8377,0.4198
619,2.8411,0.3976,2.8214,0.4226
620,2.8625,0.3946,2.8449,0.4232
621,2.8602,0.3986,2.8325,0.4221
622,2.9285,0.4028,2.8678,0.4196
623,2.8951,0.3986,2.9039,0.4209
624,2.8398,0.4020,2.8478,0.4219
625,2.8779,0.3916,2.8160,0.4229
626,2.9475,0.4006,2.8927,0.4262
627,2.9151,0.3988,2.8750,0.4182
628,2.8678,0.3946,2.8438,0.4222
629,2.8789,0.3978,2.8573,0.4296
630,2.8753,0.3982,2.8720,0.4205
631,2.9054,0.3920,2.8732,0.4297
632,2.9303,0.3968,2.8846,0.4264
633,2.9068,0.3928,2.8603,0.4228
